repayment_id,application_id,emi_number,due_date,payment_date,amount_due,amount_paid,payment_status,late_fee,days_overdue,payment_mode,remarks
REP100092,APP11419,1,2025-03-13,2025-03-12,15978.42,15978.42,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100093,APP10238,1,2025-02-19,2025-02-18,44024.63,44024.63,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100094,APP10420,1,2024-08-15,,26704.36,0.0,Missed,1650.0,23,,EMI overdue by 23 days. No payment received.
REP100095,APP12644,1,2024-12-28,2024-12-25,5138.08,5138.08,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100096,APP11354,1,2025-11-19,2025-12-09,15457.23,16957.23,Paid Late,1500.0,20,Credit Card,Payment delayed by 20 days. Late fee penalty assessed.
REP100097,APP12962,1,2024-07-25,2024-09-09,10044.06,5669.57,Partially Paid,1680.0,46,Wallet,Partial payment of ₹5669.57 received against due amount ₹10044.06.
REP100098,APP12461,1,2024-09-20,2024-09-20,6552.84,6552.84,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100099,APP12815,1,2024-07-27,2024-08-13,6791.98,8141.98,Paid Late,1350.0,17,UPI,Payment delayed by 17 days. Late fee penalty assessed.
REP100100,APP12677,1,2025-04-19,2025-04-18,56552.84,56552.84,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100101,APP10844,1,2024-06-29,2024-06-25,4636.04,4636.04,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100102,APP11067,1,2024-04-14,2024-04-14,33935.66,33935.66,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100103,APP11572,1,2024-12-04,2024-11-29,24541.32,24541.32,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100104,APP11945,1,2024-09-25,2024-09-22,14807.11,14807.11,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100105,APP10011,1,2025-08-22,2025-08-18,6827.74,6827.74,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100106,APP12954,1,2024-07-02,2024-07-02,52193.61,52193.61,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100107,APP11706,1,2025-12-21,2025-12-20,48249.92,48249.92,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100108,APP10364,1,2025-11-09,2025-11-09,76374.16,76374.16,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100109,APP11690,1,2025-02-08,2025-02-05,9710.95,9710.95,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100110,APP11710,1,2024-09-24,2024-09-20,3265.82,3265.82,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100111,APP10955,1,2025-06-07,2025-06-02,41896.25,41896.25,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100112,APP10652,1,2025-10-27,2025-10-27,9342.94,9342.94,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100113,APP11097,1,2025-05-01,2025-05-28,8951.11,10801.11,Paid Late,1850.0,27,Credit Card,Payment delayed by 27 days. Late fee penalty assessed.
REP100114,APP12274,1,2025-01-07,2025-01-03,24652.97,24652.97,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100115,APP12944,1,2024-07-14,2024-07-26,5787.96,6887.96,Paid Late,1100.0,12,Debit Card,Payment delayed by 12 days. Late fee penalty assessed.
REP100116,APP10070,1,2024-08-31,2024-08-28,12819.4,12819.4,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100117,APP12418,1,2024-02-12,2024-02-12,13836.86,13836.86,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100118,APP10828,1,2025-10-08,2025-10-08,49689.46,49689.46,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100119,APP11191,1,2024-12-15,2025-01-15,1076.68,3126.68,Paid Late,2050.0,31,Net Banking,Payment delayed by 31 days. Late fee penalty assessed.
REP100120,APP10619,1,2024-10-25,2024-11-24,9421.37,11421.37,Paid Late,2000.0,30,NACH Auto-Debit,Payment delayed by 30 days. Late fee penalty assessed.
REP100121,APP10948,1,2025-12-27,2026-01-11,12589.86,13839.86,Paid Late,1250.0,15,Net Banking,Payment delayed by 15 days. Late fee penalty assessed.
REP100122,APP10068,1,2025-11-02,2025-10-31,9962.3,9962.3,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100123,APP10867,1,2024-05-03,2024-05-21,16052.49,17452.49,Paid Late,1400.0,18,NACH Auto-Debit,Payment delayed by 18 days. Late fee penalty assessed.
REP100124,APP11963,1,2024-04-02,2024-04-02,46071.96,46071.96,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100125,APP11028,1,2024-05-19,,60296.35,0.0,Missed,1950.0,29,,EMI overdue by 29 days. No payment received.
REP100126,APP12638,1,2025-01-08,2025-01-24,77599.77,45806.75,Partially Paid,780.0,16,NACH Auto-Debit,Partial payment of ₹45806.75 received against due amount ₹77599.77.
REP100127,APP10109,1,2026-01-07,2026-01-05,18429.06,18429.06,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100128,APP12215,1,2025-09-28,2025-10-26,12294.71,14194.71,Paid Late,1900.0,28,Credit Card,Payment delayed by 28 days. Late fee penalty assessed.
REP100129,APP12963,1,2025-07-10,2025-07-08,9303.59,9303.59,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100130,APP10589,1,2025-07-01,2025-07-01,10428.14,10428.14,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100131,APP10006,1,2024-11-02,2024-11-01,6371.52,6371.52,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100132,APP12191,1,2025-02-08,,141498.33,0.0,Missed,2500.0,40,,EMI overdue by 40 days. No payment received.
REP100133,APP11131,1,2025-07-31,2025-07-31,7649.83,7649.83,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100134,APP11912,1,2024-07-21,2024-07-16,4355.68,4355.68,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100135,APP12704,1,2025-10-17,2025-10-14,4725.08,4725.08,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100136,APP11266,1,2025-12-08,2025-12-08,5968.79,5968.79,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100137,APP11714,1,2025-12-29,2025-12-27,53493.2,53493.2,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100138,APP12818,1,2025-10-21,2025-10-21,14715.31,14715.31,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100139,APP11893,1,2024-06-18,2024-06-16,16970.28,16970.28,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100140,APP12509,1,2024-08-02,2024-07-30,13834.89,13834.89,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100141,APP11330,1,2024-02-29,2024-04-08,33823.82,36273.82,Paid Late,2450.0,39,Wallet,Payment delayed by 39 days. Late fee penalty assessed.
REP100142,APP10999,1,2025-02-26,2025-02-24,5277.94,5277.94,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100143,APP10661,1,2024-08-18,2024-08-18,15952.63,15952.63,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100144,APP12017,1,2024-07-18,2024-07-17,14533.33,14533.33,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100145,APP11939,1,2024-04-23,2024-04-18,54861.29,54861.29,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100146,APP12050,1,2025-11-26,2025-11-22,9890.69,9890.69,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100147,APP10070,2,2024-09-30,2024-09-28,12819.4,12819.4,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100148,APP12555,1,2025-07-08,2025-07-06,10498.15,10498.15,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100149,APP12666,1,2025-01-14,2025-01-10,9958.48,9958.48,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100150,APP12131,1,2025-10-18,2025-10-16,7181.65,7181.65,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100151,APP10465,1,2024-12-24,2024-12-19,21646.65,21646.65,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100152,APP12360,1,2024-04-24,2024-04-20,26590.26,26590.26,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100153,APP11610,1,2025-12-13,2025-12-12,14289.24,14289.24,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100154,APP12749,1,2024-06-22,2024-07-22,13273.5,15273.5,Paid Late,2000.0,30,Net Banking,Payment delayed by 30 days. Late fee penalty assessed.
REP100155,APP12417,1,2024-08-28,2024-08-27,29237.53,29237.53,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100156,APP11834,1,2024-06-16,2024-06-14,43157.53,43157.53,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100157,APP12455,1,2025-04-12,2025-04-11,32481.1,32481.1,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100158,APP12501,1,2025-03-21,2025-04-19,5818.08,7768.08,Paid Late,1950.0,29,Net Banking,Payment delayed by 29 days. Late fee penalty assessed.
REP100159,APP12259,1,2024-07-11,2024-08-09,20588.6,22538.6,Paid Late,1950.0,29,NACH Auto-Debit,Payment delayed by 29 days. Late fee penalty assessed.
REP100160,APP12282,1,2025-12-27,2025-12-27,21466.78,21466.78,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100161,APP12321,2,2024-11-18,2024-11-16,11539.89,11539.89,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100162,APP10747,1,2025-06-07,2025-06-02,38519.07,38519.07,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100163,APP10884,1,2025-12-09,2025-12-06,20334.2,20334.2,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100164,APP12686,1,2025-10-01,2025-09-27,8034.06,8034.06,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100165,APP10717,1,2025-05-07,2025-05-03,15499.89,15499.89,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100166,APP10662,1,2024-09-05,2024-09-03,5545.94,5545.94,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100167,APP11681,1,2024-04-08,2024-04-03,56435.28,56435.28,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100168,APP12507,1,2024-10-11,2024-10-10,85660.31,85660.31,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100169,APP10057,1,2025-01-04,2025-02-10,12579.52,14929.52,Paid Late,2350.0,37,Debit Card,Payment delayed by 37 days. Late fee penalty assessed.
REP100170,APP11473,1,2025-11-23,2025-11-20,9746.1,9746.1,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100171,APP12287,1,2024-12-19,2024-12-17,77206.05,77206.05,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100172,APP12270,1,2025-12-24,2025-12-23,12177.13,12177.13,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100173,APP11512,1,2024-05-09,2024-05-07,35223.69,35223.69,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100174,APP10081,1,2025-03-14,2025-03-14,2903.44,2903.44,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100175,APP12409,1,2024-05-19,2024-05-15,3076.38,3076.38,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100176,APP12757,1,2026-01-03,2026-01-02,5947.14,5947.14,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100177,APP10077,1,2025-07-10,2025-08-17,20160.18,22560.18,Paid Late,2400.0,38,Credit Card,Payment delayed by 38 days. Late fee penalty assessed.
REP100178,APP12026,1,2024-04-22,2024-04-22,14633.72,14633.72,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100179,APP10428,1,2024-09-07,2024-09-19,35107.98,36207.98,Paid Late,1100.0,12,UPI,Payment delayed by 12 days. Late fee penalty assessed.
REP100180,APP10811,1,2024-06-13,2024-06-09,3284.46,3284.46,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100181,APP11013,1,2025-09-14,2025-09-12,19399.99,19399.99,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100182,APP12284,1,2025-05-12,,29581.1,0.0,Missed,3900.0,68,,EMI overdue by 68 days. No payment received.
REP100183,APP10789,1,2025-05-09,2025-06-09,91966.69,94016.69,Paid Late,2050.0,31,UPI,Payment delayed by 31 days. Late fee penalty assessed.
REP100184,APP12274,2,2025-02-06,2025-02-03,24652.97,24652.97,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100185,APP11987,1,2026-01-16,2026-01-16,11050.78,11050.78,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100186,APP12288,1,2024-03-11,2024-03-07,26550.82,26550.82,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100187,APP12530,1,2024-12-01,2024-11-27,6921.24,6921.24,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100188,APP10400,1,2024-09-30,2024-09-25,29466.71,29466.71,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100189,APP12852,1,2024-07-26,2024-07-26,5031.62,5031.62,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100190,APP12324,1,2025-10-15,2025-10-14,41717.9,41717.9,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100191,APP12899,1,2024-03-25,2024-03-20,9063.93,9063.93,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100192,APP12902,1,2025-01-01,2024-12-31,23449.06,23449.06,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100193,APP12785,2,2024-08-23,2024-08-23,2429.69,2429.69,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100194,APP11235,1,2025-09-15,,5933.69,0.0,Missed,2500.0,40,,EMI overdue by 40 days. No payment received.
