application_id,customer_id,lender_id,loan_amount,approved_amount,interest_rate,loan_tenure_months,loan_purpose,application_date,approval_date,loan_status,rejection_reason,loan_channel,processing_fee,emi_amount,disbursement_date
APP10032,CUST11173,LEN1004,680000.0,645000.0,11.82,36,Business Expansion,2024-02-12,2024-02-13,Approved,,Branch,11287.5,21367.82,2024-02-16
APP10033,CUST10210,LEN1008,150000.0,145000.0,10.76,6,Wedding,2024-12-22,2024-12-22,Approved,,Website,2900.0,24930.74,2024-12-23
APP10034,CUST10430,LEN1019,290000.0,240000.0,14.2,60,Vehicle Purchase,2025-09-22,2025-09-23,Approved,,Mobile App,7200.0,5609.3,2025-09-23
APP10035,CUST11168,LEN1012,600000.0,,,36,Home Renovation,2024-10-26,,Pending,,Website,,,
APP10036,CUST10593,LEN1019,335000.0,330000.0,13.48,60,Medical Emergency,2025-02-25,2025-03-02,Approved,,Mobile App,9900.0,7589.85,2025-03-03
APP10037,CUST11437,LEN1005,240000.0,210000.0,14.01,48,Business Expansion,2025-11-23,2025-11-28,Approved,,Mobile App,4725.0,5739.61,2025-11-30
APP10038,CUST11286,LEN1014,255000.0,240000.0,24.5,6,Medical Emergency,2025-06-11,2025-06-13,Approved,,DSA / Partner,4560.0,42906.46,2025-06-16
APP10039,CUST11000,LEN1011,365000.0,,,60,Medical Emergency,2025-04-14,,Rejected,Incomplete Documentation,Direct Telecall,,,
APP10040,CUST11361,LEN1012,600000.0,580000.0,11.98,60,Vehicle Purchase,2025-03-15,2025-03-17,Approved,,Mobile App,14500.0,12895.92,2025-03-19
APP10041,CUST10692,LEN1018,375000.0,355000.0,16.8,36,Wedding,2025-11-29,2025-12-04,Approved,,Website,7100.0,12621.41,2025-12-07
APP10042,CUST10034,LEN1004,1000000.0,1000000.0,11.78,12,Wedding,2024-01-01,2024-01-06,Approved,,DSA / Partner,17500.0,88745.9,2024-01-07
APP10043,CUST11332,LEN1010,190000.0,,,18,Medical Emergency,2025-01-04,,Rejected,KYC Verification Failed,Direct Telecall,,,
APP10044,CUST10169,LEN1012,475000.0,440000.0,12.68,48,Home Renovation,2025-02-09,2025-02-10,Approved,,Mobile App,11000.0,11734.34,2025-02-13
APP10045,CUST11343,LEN1003,1000000.0,825000.0,22.21,6,Education,2024-03-20,2024-03-25,Approved,,DSA / Partner,12375.0,146543.23,2024-03-28
APP10046,CUST10020,LEN1001,525000.0,435000.0,13.81,60,Medical Emergency,2025-12-11,2025-12-14,Approved,,DSA / Partner,10875.0,10078.89,2025-12-14
APP10047,CUST11497,LEN1004,95000.0,90000.0,24.79,18,Debt Consolidation,2025-01-26,2025-01-27,Approved,,Mobile App,1575.0,6037.99,2025-01-28
APP10048,CUST10141,LEN1017,165000.0,,,36,Home Renovation,2024-12-25,,Pending,,DSA / Partner,,,
APP10049,CUST11480,LEN1007,265000.0,235000.0,17.56,12,Vehicle Purchase,2025-12-04,2025-12-04,Approved,,Branch,6462.5,21495.62,2025-12-05
APP10050,CUST10253,LEN1019,500000.0,425000.0,19.44,18,Vehicle Purchase,2024-05-23,2024-05-24,Approved,,Website,12750.0,27410.08,2024-05-26
APP10051,CUST11415,LEN1001,1000000.0,920000.0,27.21,48,Debt Consolidation,2025-06-14,2025-06-17,Approved,,Mobile App,23000.0,31649.47,2025-06-19
APP10052,CUST11324,LEN1002,355000.0,,,60,Education,2025-01-30,,Pending,,DSA / Partner,,,
APP10053,CUST10231,LEN1008,360000.0,360000.0,25.68,36,Medical Emergency,2024-01-13,2024-01-14,Approved,,Branch,7200.0,14443.33,2024-01-17
APP10054,CUST11165,LEN1014,215000.0,175000.0,21.43,48,Home Renovation,2024-03-15,2024-03-17,Approved,,DSA / Partner,3325.0,5459.55,2024-03-18
APP10055,CUST10082,LEN1002,980000.0,935000.0,14.83,24,Debt Consolidation,2025-05-28,2025-05-31,Approved,,Direct Telecall,18700.0,45259.53,2025-05-31
APP10056,CUST11312,LEN1018,450000.0,,,12,Debt Consolidation,2024-11-13,,Pending,,Mobile App,,,
APP10057,CUST10162,LEN1017,445000.0,390000.0,29.84,60,Home Renovation,2024-11-30,2024-12-05,Approved,,Branch,8190.0,12579.52,2024-12-05
APP10058,CUST10636,LEN1014,1000000.0,,,60,Education,2024-09-07,,Rejected,Low Credit Score,Mobile App,,,
APP10059,CUST10890,LEN1004,540000.0,510000.0,30.47,36,Personal Expenses,2025-11-13,2025-11-13,Approved,,Website,8925.0,21781.8,2025-11-13
APP10060,CUST11450,LEN1005,190000.0,170000.0,12.97,12,Wedding,2025-06-19,2025-06-21,Approved,,Website,3825.0,15181.54,2025-06-22
APP10061,CUST10762,LEN1005,300000.0,285000.0,16.73,60,Debt Consolidation,2024-04-30,2024-05-03,Approved,,Direct Telecall,6412.5,7041.67,2024-05-05
APP10062,CUST11073,LEN1003,190000.0,,,36,Medical Emergency,2025-04-11,,Rejected,Past Loan Default,DSA / Partner,,,
APP10063,CUST10738,LEN1002,540000.0,460000.0,17.05,36,Home Renovation,2024-06-10,2024-06-14,Approved,,Website,9200.0,16411.7,2024-06-14
APP10064,CUST10468,LEN1017,150000.0,135000.0,22.98,60,Personal Expenses,2024-02-17,2024-02-18,Approved,,Mobile App,2835.0,3804.16,2024-02-19
APP10065,CUST10073,LEN1018,740000.0,,,48,Vehicle Purchase,2024-11-25,,Pending,,Mobile App,,,
APP10066,CUST10509,LEN1014,530000.0,465000.0,18.81,18,Debt Consolidation,2025-08-08,2025-08-08,Approved,,Mobile App,8835.0,29849.54,2025-08-09
APP10067,CUST10458,LEN1017,310000.0,295000.0,14.5,24,Medical Emergency,2024-10-16,2024-10-16,Approved,,DSA / Partner,6195.0,14233.58,2024-10-19
APP10068,CUST10017,LEN1012,285000.0,240000.0,28.27,36,Debt Consolidation,2025-09-29,2025-10-02,Approved,,Direct Telecall,6000.0,9962.3,2025-10-03
APP10069,CUST11120,LEN1008,155000.0,135000.0,13.02,24,Personal Expenses,2025-07-08,2025-07-08,Approved,,Mobile App,2700.0,6419.41,2025-07-10
APP10070,CUST10003,LEN1013,445000.0,405000.0,22.27,48,Debt Consolidation,2024-07-29,2024-08-01,Approved,,Mobile App,9720.0,12819.4,2024-08-01
APP10071,CUST10292,LEN1009,135000.0,120000.0,19.89,12,Vehicle Purchase,2025-01-16,2025-01-20,Approved,,Direct Telecall,2160.0,11109.82,2025-01-20
APP10072,CUST11036,LEN1005,155000.0,125000.0,12.49,24,Medical Emergency,2025-08-04,2025-08-05,Approved,,Branch,2812.5,5912.83,2025-08-06
APP10073,CUST10598,LEN1009,750000.0,,,60,Vehicle Purchase,2024-11-30,,Rejected,KYC Verification Failed,Direct Telecall,,,
APP10074,CUST10928,LEN1009,435000.0,,,12,Home Renovation,2024-04-21,,Rejected,High Debt-to-Income Ratio,Branch,,,
APP10075,CUST10217,LEN1006,500000.0,435000.0,30.64,18,Vehicle Purchase,2025-07-02,2025-07-05,Approved,,Mobile App,13050.0,30446.02,2025-07-07
APP10076,CUST10949,LEN1009,750000.0,725000.0,15.62,6,Home Renovation,2024-11-07,2024-11-07,Approved,,Direct Telecall,13050.0,126397.62,2024-11-08
APP10077,CUST10672,LEN1005,270000.0,220000.0,17.91,12,Business Expansion,2025-06-09,2025-06-10,Approved,,DSA / Partner,4950.0,20160.18,2025-06-10
APP10078,CUST10829,LEN1015,310000.0,255000.0,24.99,36,Education,2025-04-18,2025-04-18,Approved,,Mobile App,8287.5,10137.41,2025-04-18
APP10079,CUST10127,LEN1008,205000.0,190000.0,24.26,60,Vehicle Purchase,2025-12-03,2025-12-07,Approved,,Website,3800.0,5494.62,2025-12-09
APP10080,CUST10154,LEN1001,1000000.0,980000.0,20.25,12,Wedding,2024-04-04,2024-04-06,Approved,,Mobile App,24500.0,90899.11,2024-04-06
APP10081,CUST10088,LEN1015,90000.0,80000.0,18.28,36,Vehicle Purchase,2025-02-08,2025-02-11,Approved,,Direct Telecall,2600.0,2903.44,2025-02-12
APP10082,CUST10725,LEN1007,465000.0,,,18,Debt Consolidation,2024-06-01,,Pending,,DSA / Partner,,,
APP10083,CUST10071,LEN1020,300000.0,295000.0,18.71,12,Debt Consolidation,2025-02-25,2025-02-25,Approved,,DSA / Partner,10325.0,27145.38,2025-02-27
APP10084,CUST10785,LEN1005,370000.0,355000.0,25.95,48,Education,2025-07-10,2025-07-15,Approved,,Direct Telecall,7987.5,11959.66,2025-07-17
APP10085,CUST10983,LEN1018,415000.0,345000.0,14.52,18,Business Expansion,2024-10-03,2024-10-04,Approved,,DSA / Partner,6900.0,21444.9,2024-10-04
APP10086,CUST10576,LEN1002,440000.0,440000.0,21.59,24,Business Expansion,2024-08-26,2024-08-31,Approved,,Branch,8800.0,22737.4,2024-09-01
APP10087,CUST10546,LEN1018,510000.0,495000.0,15.91,48,Personal Expenses,2025-08-12,2025-08-14,Approved,,Mobile App,9900.0,14005.63,2025-08-15
APP10088,CUST10361,LEN1008,510000.0,480000.0,14.62,60,Business Expansion,2024-01-29,2024-02-02,Approved,,Branch,9600.0,11323.65,2024-02-03
APP10089,CUST11154,LEN1007,630000.0,525000.0,26.32,60,Wedding,2024-11-12,2024-11-12,Approved,,Branch,14437.5,15818.36,2024-11-13
APP10090,CUST11233,LEN1008,110000.0,,,24,Personal Expenses,2025-09-20,,Pending,,Website,,,
APP10091,CUST10413,LEN1005,135000.0,110000.0,24.55,12,Business Expansion,2024-01-23,2024-01-24,Approved,,Mobile App,2475.0,10430.86,2024-01-24
APP10092,CUST11078,LEN1012,415000.0,360000.0,22.68,18,Vehicle Purchase,2024-04-13,2024-04-14,Approved,,Branch,9000.0,23781.14,2024-04-17
APP10093,CUST11310,LEN1016,350000.0,,,12,Business Expansion,2025-11-12,,Rejected,Past Loan Default,Mobile App,,,
APP10094,CUST10360,LEN1013,155000.0,,,48,Debt Consolidation,2024-06-30,,Rejected,Incomplete Documentation,Mobile App,,,
APP10095,CUST10004,LEN1019,500000.0,430000.0,15.95,60,Personal Expenses,2025-09-08,2025-09-12,Approved,,Mobile App,12900.0,10445.34,2025-09-13
APP10096,CUST11310,LEN1019,110000.0,95000.0,20.92,24,Home Renovation,2024-03-20,2024-03-21,Approved,,Website,2850.0,4877.9,2024-03-21
APP10097,CUST11452,LEN1011,265000.0,215000.0,17.73,18,Education,2025-12-10,2025-12-10,Approved,,Mobile App,4730.0,13690.59,2025-12-10
APP10098,CUST10099,LEN1013,500000.0,,,24,Home Renovation,2025-05-19,,Pending,,DSA / Partner,,,
APP10099,CUST10776,LEN1012,210000.0,200000.0,22.21,6,Wedding,2025-10-28,2025-10-31,Approved,,Branch,5000.0,35525.63,2025-10-31
APP10100,CUST10069,LEN1010,65000.0,,,18,Medical Emergency,2024-12-16,,Pending,,Mobile App,,,
APP10101,CUST10349,LEN1013,70000.0,70000.0,13.18,6,Medical Emergency,2025-08-31,2025-09-05,Approved,,Website,1680.0,12119.23,2025-09-05
APP10102,CUST10884,LEN1006,315000.0,,,24,Home Renovation,2024-04-13,,Rejected,KYC Verification Failed,Mobile App,,,
APP10103,CUST10421,LEN1007,690000.0,595000.0,21.57,36,Debt Consolidation,2024-10-15,2024-10-18,Approved,,Direct Telecall,16362.5,22591.17,2024-10-21
APP10104,CUST10315,LEN1002,205000.0,190000.0,23.45,24,Medical Emergency,2025-11-08,2025-11-08,Approved,,Website,3800.0,9993.43,2025-11-08
APP10105,CUST10424,LEN1006,280000.0,,,6,Wedding,2024-11-11,,Rejected,Insufficient Monthly Income,Mobile App,,,
APP10106,CUST10965,LEN1016,315000.0,275000.0,22.92,18,Medical Emergency,2025-07-11,2025-07-14,Approved,,Direct Telecall,7700.0,18198.25,2025-07-16
APP10107,CUST10383,LEN1015,85000.0,,,24,Wedding,2024-08-19,,Pending,,Website,,,
APP10108,CUST10551,LEN1019,165000.0,145000.0,29.29,60,Medical Emergency,2025-11-15,2025-11-19,Approved,,Mobile App,4350.0,4628.2,2025-11-20
APP10109,CUST11134,LEN1002,795000.0,775000.0,14.98,60,Vehicle Purchase,2025-12-04,2025-12-05,Approved,,Branch,15500.0,18429.06,2025-12-08
APP10110,CUST10613,LEN1003,770000.0,755000.0,15.92,60,Personal Expenses,2025-08-07,2025-08-12,Approved,,Branch,11325.0,18328.06,2025-08-13
APP10111,CUST10247,LEN1015,185000.0,,,12,Education,2024-05-09,,Rejected,Low Credit Score,Mobile App,,,
APP10112,CUST10868,LEN1003,595000.0,,,24,Education,2024-05-31,,Rejected,Past Loan Default,Direct Telecall,,,
APP10113,CUST10529,LEN1011,435000.0,395000.0,19.03,60,Medical Emergency,2025-02-01,2025-02-03,Approved,,Mobile App,8690.0,10253.04,2025-02-06
APP10114,CUST10026,LEN1020,300000.0,250000.0,15.24,60,Vehicle Purchase,2025-02-28,2025-03-04,Approved,,Mobile App,8750.0,5979.02,2025-03-04
APP10115,CUST10217,LEN1019,500000.0,490000.0,27.66,60,Debt Consolidation,2024-12-18,2024-12-23,Approved,,Branch,14700.0,15156.2,2024-12-26
APP10116,CUST11172,LEN1020,265000.0,245000.0,30.12,12,Debt Consolidation,2024-05-27,2024-05-30,Approved,,DSA / Partner,8575.0,23898.81,2024-05-30
APP10117,CUST10811,LEN1011,325000.0,260000.0,15.97,6,Wedding,2025-01-16,2025-01-18,Approved,,Website,5720.0,45374.0,2025-01-20
APP10118,CUST10575,LEN1016,660000.0,,,48,Medical Emergency,2024-05-17,,Rejected,KYC Verification Failed,Mobile App,,,
APP10119,CUST10908,LEN1011,325000.0,,,24,Medical Emergency,2025-03-28,,Rejected,High Debt-to-Income Ratio,Mobile App,,,
APP10120,CUST10834,LEN1016,500000.0,,,60,Business Expansion,2025-06-11,,Rejected,High Debt-to-Income Ratio,Mobile App,,,
APP10121,CUST10135,LEN1010,375000.0,,,24,Home Renovation,2025-08-05,,Rejected,Low Credit Score,Branch,,,
APP10122,CUST10356,LEN1007,630000.0,560000.0,31.52,12,Personal Expenses,2024-02-03,2024-02-08,Approved,,Mobile App,15400.0,55012.34,2024-02-09
APP10123,CUST10562,LEN1012,600000.0,,,36,Vehicle Purchase,2024-05-06,,Pending,,Direct Telecall,,,
APP10124,CUST11396,LEN1001,150000.0,140000.0,18.14,24,Wedding,2025-04-30,2025-05-01,Approved,,Mobile App,3500.0,6998.85,2025-05-03
APP10125,CUST11411,LEN1003,205000.0,195000.0,22.15,24,Personal Expenses,2025-08-08,2025-08-09,Approved,,Mobile App,2925.0,10130.69,2025-08-10
APP10126,CUST11388,LEN1007,205000.0,185000.0,17.18,24,Personal Expenses,2024-01-10,2024-01-11,Approved,,Direct Telecall,5087.5,9162.83,2024-01-11
APP10127,CUST10459,LEN1009,565000.0,550000.0,11.88,18,Debt Consolidation,2025-01-20,2025-01-21,Approved,,DSA / Partner,9900.0,33509.48,2025-01-24
APP10128,CUST10619,LEN1017,570000.0,,,24,Medical Emergency,2025-06-07,,Pending,,Mobile App,,,
APP10129,CUST11357,LEN1012,430000.0,355000.0,10.69,36,Debt Consolidation,2025-12-01,2025-12-03,Approved,,Website,8875.0,11570.2,2025-12-05
APP10130,CUST10568,LEN1009,555000.0,,,48,Debt Consolidation,2024-06-02,,Rejected,Past Loan Default,Mobile App,,,
APP10131,CUST10493,LEN1002,1000000.0,,,60,Vehicle Purchase,2024-11-23,,Rejected,Incomplete Documentation,Direct Telecall,,,
APP10132,CUST10287,LEN1001,1000000.0,880000.0,26.31,18,Debt Consolidation,2025-02-18,2025-02-23,Approved,,DSA / Partner,22000.0,59695.98,2025-02-24
APP10133,CUST10703,LEN1008,250000.0,225000.0,16.05,48,Wedding,2025-01-02,2025-01-07,Approved,,Direct Telecall,4500.0,6382.33,2025-01-08
APP10134,CUST10602,LEN1004,175000.0,,,48,Debt Consolidation,2025-07-26,,Pending,,Direct Telecall,,,
APP10135,CUST10375,LEN1011,920000.0,815000.0,25.45,12,Business Expansion,2024-11-10,2024-11-12,Approved,,Mobile App,17930.0,77639.11,2024-11-14
APP10136,CUST11200,LEN1010,270000.0,250000.0,13.33,6,Wedding,2025-10-11,2025-10-11,Approved,,Mobile App,6250.0,43301.54,2025-10-14
APP10137,CUST10399,LEN1017,385000.0,,,48,Vehicle Purchase,2024-11-01,,Rejected,Insufficient Monthly Income,Branch,,,
APP10138,CUST10111,LEN1005,110000.0,,,12,Business Expansion,2025-08-06,,Rejected,Insufficient Monthly Income,DSA / Partner,,,
APP10139,CUST10294,LEN1011,200000.0,,,12,Medical Emergency,2024-12-06,,Pending,,DSA / Partner,,,
APP10140,CUST11293,LEN1006,230000.0,,,6,Personal Expenses,2024-10-07,,Rejected,High Debt-to-Income Ratio,DSA / Partner,,,
APP10141,CUST10346,LEN1019,500000.0,,,24,Medical Emergency,2025-09-21,,Pending,,Mobile App,,,
APP10142,CUST10889,LEN1014,545000.0,495000.0,15.72,24,Vehicle Purchase,2024-02-08,2024-02-08,Approved,,Mobile App,9405.0,24170.57,2024-02-10
APP10143,CUST11088,LEN1007,125000.0,,,6,Education,2025-12-11,,Rejected,KYC Verification Failed,Mobile App,,,
APP10144,CUST10640,LEN1005,165000.0,160000.0,17.91,36,Debt Consolidation,2024-03-07,2024-03-09,Approved,,Mobile App,3600.0,5777.16,2024-03-12
APP10145,CUST11491,LEN1017,315000.0,,,18,Vehicle Purchase,2024-05-17,,Rejected,KYC Verification Failed,Direct Telecall,,,
APP10146,CUST11004,LEN1012,470000.0,395000.0,20.93,12,Vehicle Purchase,2024-08-21,2024-08-22,Approved,,Mobile App,9875.0,36766.67,2024-08-22
APP10147,CUST11208,LEN1017,105000.0,90000.0,15.15,18,Personal Expenses,2025-10-17,2025-10-17,Approved,,DSA / Partner,1890.0,5620.99,2025-10-17
APP10148,CUST11356,LEN1004,1000000.0,885000.0,18.27,6,Personal Expenses,2024-04-28,2024-05-02,Approved,,Direct Telecall,15487.5,155458.86,2024-05-04
APP10149,CUST10972,LEN1005,305000.0,,,48,Personal Expenses,2025-03-06,,Rejected,Incomplete Documentation,Website,,,
APP10150,CUST10207,LEN1017,205000.0,,,36,Home Renovation,2024-04-17,,Rejected,Past Loan Default,DSA / Partner,,,
APP10151,CUST11473,LEN1020,300000.0,275000.0,24.91,6,Medical Emergency,2024-07-22,2024-07-26,Approved,,DSA / Partner,9625.0,49220.32,2024-07-27
APP10152,CUST10734,LEN1014,395000.0,390000.0,11.49,6,Wedding,2025-12-05,2025-12-05,Approved,,Mobile App,7410.0,67195.61,2025-12-05
APP10153,CUST11376,LEN1003,250000.0,,,60,Wedding,2024-04-02,,Pending,,Mobile App,,,
APP10154,CUST11048,LEN1003,625000.0,,,6,Debt Consolidation,2024-08-24,,Pending,,Direct Telecall,,,
APP10155,CUST10936,LEN1010,160000.0,155000.0,11.58,6,Medical Emergency,2024-02-10,2024-02-15,Approved,,Mobile App,3875.0,26712.84,2024-02-17
APP10156,CUST10873,LEN1004,330000.0,310000.0,11.01,60,Personal Expenses,2024-05-21,2024-05-23,Approved,,Mobile App,5425.0,6741.7,2024-05-26
APP10157,CUST11274,LEN1009,750000.0,615000.0,18.36,6,Business Expansion,2024-07-06,2024-07-09,Approved,,Website,11070.0,108058.32,2024-07-11
APP10158,CUST10790,LEN1016,1000000.0,,,48,Home Renovation,2024-05-15,,Rejected,Incomplete Documentation,Mobile App,,,
APP10159,CUST11488,LEN1002,1000000.0,,,60,Home Renovation,2025-03-02,,Pending,,Mobile App,,,
APP10160,CUST11210,LEN1016,495000.0,,,48,Wedding,2025-09-17,,Rejected,Insufficient Monthly Income,Mobile App,,,
APP10161,CUST10735,LEN1020,140000.0,115000.0,14.79,48,Home Renovation,2025-05-14,2025-05-14,Approved,,DSA / Partner,4025.0,3188.31,2025-05-14
APP10162,CUST10536,LEN1011,285000.0,260000.0,12.56,60,Education,2024-12-12,2024-12-16,Approved,,Direct Telecall,5720.0,5857.4,2024-12-16
APP10163,CUST10887,LEN1008,440000.0,,,48,Vehicle Purchase,2025-07-25,,Pending,,Mobile App,,,
APP10164,CUST11256,LEN1002,85000.0,,,12,Wedding,2024-06-18,,Pending,,DSA / Partner,,,
APP10165,CUST10154,LEN1016,440000.0,370000.0,19.43,18,Debt Consolidation,2025-06-03,2025-06-06,Approved,,Mobile App,10360.0,23861.12,2025-06-07
APP10166,CUST10162,LEN1015,250000.0,220000.0,26.8,36,Wedding,2025-05-25,2025-05-28,Approved,,Mobile App,7150.0,8957.96,2025-05-28
APP10167,CUST10211,LEN1013,365000.0,360000.0,15.45,36,Personal Expenses,2025-09-10,2025-09-14,Approved,,Mobile App,8640.0,12559.0,2025-09-15
APP10168,CUST11341,LEN1015,400000.0,,,18,Personal Expenses,2025-04-10,,Rejected,KYC Verification Failed,Mobile App,,,
APP10169,CUST11148,LEN1020,300000.0,245000.0,19.94,48,Business Expansion,2025-04-08,2025-04-09,Approved,,Direct Telecall,8575.0,7447.61,2025-04-09
APP10170,CUST10700,LEN1012,600000.0,525000.0,13.91,60,Debt Consolidation,2025-06-18,2025-06-19,Approved,,Branch,13125.0,12191.35,2025-06-22
APP10171,CUST10288,LEN1014,180000.0,175000.0,11.68,36,Education,2024-05-03,2024-05-06,Approved,,Mobile App,3325.0,5785.79,2024-05-07
APP10172,CUST11468,LEN1011,215000.0,,,24,Personal Expenses,2025-11-19,,Rejected,Past Loan Default,Direct Telecall,,,
APP10173,CUST10253,LEN1015,400000.0,360000.0,16.81,36,Home Renovation,2024-01-05,2024-01-08,Approved,,DSA / Partner,11700.0,12800.97,2024-01-11
APP10174,CUST11042,LEN1006,500000.0,465000.0,24.07,12,Home Renovation,2025-01-31,2025-02-02,Approved,,Mobile App,13950.0,43985.97,2025-02-05
APP10175,CUST10858,LEN1020,300000.0,,,60,Education,2025-02-11,,Pending,,Website,,,
APP10176,CUST10703,LEN1010,180000.0,,,12,Home Renovation,2025-09-08,,Rejected,Incomplete Documentation,DSA / Partner,,,
APP10177,CUST11050,LEN1010,665000.0,,,36,Business Expansion,2025-07-20,,Pending,,Direct Telecall,,,
APP10178,CUST11296,LEN1007,165000.0,,,36,Debt Consolidation,2024-12-19,,Pending,,Direct Telecall,,,
APP10179,CUST11378,LEN1005,1000000.0,940000.0,11.47,48,Home Renovation,2025-07-09,2025-07-09,Approved,,Branch,21150.0,24509.9,2025-07-11
APP10180,CUST11152,LEN1016,350000.0,300000.0,13.04,48,Vehicle Purchase,2025-06-30,2025-06-30,Approved,,Direct Telecall,8400.0,8054.21,2025-06-30
APP10181,CUST10052,LEN1013,500000.0,,,48,Personal Expenses,2024-09-30,,Pending,,Mobile App,,,
APP10182,CUST10330,LEN1010,540000.0,455000.0,23.75,12,Personal Expenses,2024-10-29,2024-10-31,Approved,,Direct Telecall,11375.0,42969.59,2024-11-03
APP10183,CUST10210,LEN1020,300000.0,275000.0,11.21,48,Education,2025-10-24,2025-10-29,Approved,,Direct Telecall,9625.0,7135.6,2025-10-31
